"","income","predi_test_aver","preds_base"
"22","0",0.00248250518677079,0.00281757237866237
"24","0",0.126592791486378,0.13103404612527
"37","1",0.594113674647075,0.610665294199186
"62","0",0.0926105354992404,0.0927412583937863
"67","1",0.978775894998022,0.978684014397666
"80","0",0.0177972456742611,0.0164312633550025
"88","1",0.516172987992351,0.514609836470209
"92","0",0.00277041245362028,0.00286825840233931
"105","0",0.0213158929657523,0.0206910647560624
"112","0",0.264292965218301,0.267150277974064
"122","0",0.00376251031336836,0.00405732015662759
"131","0",0.348865674415459,0.349881220631401
"136","0",0.0374218497226613,0.0381877306785778
"137","1",0.436621027960994,0.437792052845947
"165","1",0.843966876361097,0.837474053348887
"182","1",0.982901154897098,0.981594405246905
"183","1",0.0160807189415117,0.0187453212952261
"189","0",0.100443354281185,0.0850519491658647
"195","0",0.0267916056924952,0.0287258639499954
"201","1",0.502689385575136,0.485059424322536
"203","0",0.255000884137002,0.258114993159438
"214","0",0.46128353175743,0.465745360880136
"219","0",0.0681553805505991,0.0704875060160296
"222","0",0.00870647658973341,0.00806347097234565
"224","1",0.346627864965839,0.343896726744481
"236","0",0.116879743484231,0.116543772010741
"240","0",0.182740373802344,0.189415201156885
"241","0",0.00133387765827119,0.00154683080107882
"243","0",0.000708456439860813,0.000788991234551385
"247","0",0.148046245115974,0.136586055796487
"250","0",0.197242987728843,0.199574254319574
"258","0",0.00653408073588282,0.00621290404118788
"260","0",0.191675868667467,0.189626055457604
"265","0",0.13688621150245,0.121219445065173
"273","1",0.725328783650283,0.724319656678414
"281","1",0.223906532838653,0.228392831857268
"308","0",0.0288713579555376,0.0341825738691324
"309","1",0.834766622952884,0.83221271394194
"330","1",0.996438451498997,0.996399760337462
"336","0",0.00978422711919667,0.00944779001902964
"350","0",0.0563000287016574,0.0628168615019654
"352","0",0.00353017512084426,0.00376825887099359
"372","0",0.0188657395661749,0.0201944511851575
"377","0",0.537601852390212,0.563470591346929
"396","0",0.0247441878558446,0.0311154817041542
"398","0",0.215259490638986,0.210446713538492
"400","0",0.714319596675063,0.708168250290412
"405","0",0.387617668603804,0.394637418507329
"415","0",0.116126572253599,0.12184552328805
"432","0",0.00137784399939708,0.00167084430031871
"444","0",0.611474641607164,0.612207198902299
"449","0",0.0281761591773565,0.0333815594219716
"450","0",0.0598260782324227,0.0581131787757609
"451","0",0.206229743323113,0.213061987265497
"458","1",0.798884870969037,0.811576959101569
"462","0",0.228293253637876,0.23274654701796
"463","0",0.723286740814913,0.719855793599942
"464","0",0.105623238452742,0.111514166163849
